relative_position	route	source_lexicality	interpolated_error_rate
0.9090909090909092	wm	pseudo	0.006507231645148831
0.9191919191919192	wm	pseudo	0.006610446197551851
0.9292929292929294	wm	pseudo	0.006741131386797537
0.9393939393939394	wm	pseudo	0.006897940961900718
0.9494949494949496	wm	pseudo	0.007079528671876237
0.9595959595959597	wm	pseudo	0.007284548265738921
0.9696969696969697	wm	pseudo	0.007511653492503612
0.9797979797979799	wm	pseudo	0.007759498101185144
0.98989898989899	wm	pseudo	0.008026735840798346
1.0	wm	pseudo	0.008312020460358057
0.0	ltm	real	0.0
0.010101010101010102	ltm	real	0.00010289244671179909
0.020202020202020204	ltm	real	0.0002007693085476292
0.030303030303030304	ltm	real	0.0002935568607872189
0.04040404040404041	ltm	real	0.0003811813787102966
0.05050505050505051	ltm	real	0.000463569137596591
0.06060606060606061	ltm	real	0.0005406464127258304
0.07070707070707072	ltm	real	0.0006123394793777437
0.08080808080808081	ltm	real	0.0006785746128320588
0.09090909090909091	ltm	real	0.000739278088368505
0.10101010101010102	ltm	real	0.0007943761812668102
0.11111111111111112	ltm	real	0.0008437951668067029
0.12121212121212122	ltm	real	0.0008874613202679121
0.13131313131313133	ltm	real	0.0009253009169301661
0.14141414141414144	ltm	real	0.0009572402320731935
0.15151515151515152	ltm	real	0.0009806343913572547
0.16161616161616163	ltm	real	0.0009919615034577147
0.17171717171717174	ltm	real	0.0009926515207615055
0.18181818181818182	ltm	real	0.0009842111922391756
0.19191919191919193	ltm	real	0.0009681472668612731
0.20202020202020204	ltm	real	0.0009459664935983463
0.21212121212121213	ltm	real	0.000919175621420944
0.22222222222222224	ltm	real	0.0008892813992996143
0.23232323232323235	ltm	real	0.000857790576204905
0.24242424242424243	ltm	real	0.000826209901107365
0.25252525252525254	ltm	real	0.0007963170869234015
0.26262626262626265	ltm	real	0.0007754328959805271
0.27272727272727276	ltm	real	0.0007669905195493006
0.2828282828282829	ltm	real	0.0007719314837448564
0.29292929292929293	ltm	real	0.0007910053232232863
