dataset_regime	seed	route	lichtheim_exposure_status	descriptive_only	n_items	n_erroneous_items	cell_flag	total_edit_operations	mean_edit_distance_per_item	total_substitutions	mean_substitutions_per_item	mean_substitutions_per_erroneous_item	proportion_substitutions	total_deletions	mean_deletions_per_item	mean_deletions_per_erroneous_item	proportion_deletions	total_insertions	mean_insertions_per_item	mean_insertions_per_erroneous_item	proportion_insertions	composition_status
ALL_WITH_EXPOSURE_STRATA	21	full	PSEUDO_TRAINING_WORD	True	5	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	22	full	PSEUDO_TRAINING_WORD	True	5	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	19	full	TRAINED_REAL_EXACT	False	671	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	20	full	TRAINED_REAL_EXACT	False	671	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	21	full	TRAINED_REAL_EXACT	False	671	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	22	full	TRAINED_REAL_EXACT	False	671	0	OK	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	19	full	TRAINED_REAL_PRON_VARIANT	True	7	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	20	full	TRAINED_REAL_PRON_VARIANT	True	7	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	21	full	TRAINED_REAL_PRON_VARIANT	True	7	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	22	full	TRAINED_REAL_PRON_VARIANT	True	7	0	VERY_SMALL_CELL	0.0	0.0	0.0	0.0			0.0	0.0			0.0	0.0			NO_ERRORS_FOR_COMPOSITION
ALL_WITH_EXPOSURE_STRATA	19	full	UNTRAINED_REAL	False	122	3	OK	5.0	0.040983606557377046	2.0	0.01639344262295082	0.6666666666666666	0.4	2.0	0.01639344262295082	0.6666666666666666	0.4	1.0	0.00819672131147541	0.3333333333333333	0.2	OK
ALL_WITH_EXPOSURE_STRATA	20	full	UNTRAINED_REAL	False	122	2	OK	2.0	0.01639344262295082	1.0	0.00819672131147541	0.5	0.5	1.0	0.00819672131147541	0.5	0.5	0.0	0.0	0.0	0.0	OK
ALL_WITH_EXPOSURE_STRATA	21	full	UNTRAINED_REAL	False	122	1	OK	1.0	0.00819672131147541	0.0	0.0	0.0	0.0	1.0	0.00819672131147541	1.0	1.0	0.0	0.0	0.0	0.0	OK
ALL_WITH_EXPOSURE_STRATA	22	full	UNTRAINED_REAL	False	122	2	OK	4.0	0.03278688524590164	2.0	0.01639344262295082	1.0	0.5	1.0	0.00819672131147541	0.5	0.25	1.0	0.00819672131147541	0.5	0.25	OK
ALL_WITH_EXPOSURE_STRATA	19	ltm	NOVEL_PSEUDOWORD	False	391	99	OK	235.0	0.6010230179028133	134.0	0.34271099744245526	1.3535353535353536	0.5702127659574469	65.0	0.16624040920716113	0.6565656565656566	0.2765957446808511	36.0	0.09207161125319693	0.36363636363636365	0.15319148936170213	OK
