dataset_regime	seed	route	source_lexicality	label	morphology	phoneme_length	n_items	cell_flag	mean_raw_edit_distance	word_error_rate	total_raw_edit_distance	n_erroneous_items	mean_across_seeds	word_error_rate_across_seeds	n_items_per_seed
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	7	124	OK	0.0	0.0	0.0	0	0.004032258064516129	0.0020161290322580645	124
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	7	124	OK	0.016129032258064516	0.008064516129032258	2.0	1	0.004032258064516129	0.0020161290322580645	124
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	8	48	OK	0.0	0.0	0.0	0	0.0	0.0	48
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	8	48	OK	0.0	0.0	0.0	0	0.0	0.0	48
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	8	48	OK	0.0	0.0	0.0	0	0.0	0.0	48
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	8	48	OK	0.0	0.0	0.0	0	0.0	0.0	48
FAITHFUL_WFE_ALL	19	full	real	Real words	simple	9	28	OK	0.07142857142857142	0.03571428571428571	2.0	1	0.026785714285714284	0.017857142857142856	28
FAITHFUL_WFE_ALL	20	full	real	Real words	simple	9	28	OK	0.03571428571428571	0.03571428571428571	1.0	1	0.026785714285714284	0.017857142857142856	28
FAITHFUL_WFE_ALL	21	full	real	Real words	simple	9	28	OK	0.0	0.0	0.0	0	0.026785714285714284	0.017857142857142856	28
FAITHFUL_WFE_ALL	22	full	real	Real words	simple	9	28	OK	0.0	0.0	0.0	0	0.026785714285714284	0.017857142857142856	28
