space	lexicon_index	word	pc1	pc2
glove	245	states	-0.637607216835022	-0.01324719749391079
glove	246	area	-0.5706650614738464	-0.005557477008551359
glove	247	want	-0.6109910011291504	0.17162969708442688
glove	248	phone	-0.4600543677806854	0.003949885722249746
glove	249	dvd	-0.27670085430145264	0.01759842038154602
glove	250	shipping	-0.32435959577560425	0.07412837445735931
glove	251	reserved	-0.2792440950870514	0.14211389422416687
glove	252	subject	-0.5359710454940796	0.21962855756282806
glove	253	between	-0.5721405744552612	0.007827081717550755
glove	254	forum	-0.38151007890701294	-0.01266577560454607
glove	255	family	-0.4725222587585449	-0.13216732442378998
glove	256	l	-0.20544293522834778	-0.09878210723400116
glove	257	long	-0.6104085445404053	0.0579405315220356
glove	258	based	-0.5568808913230896	-0.06209193542599678
glove	259	w	-0.16848936676979065	-0.16379958391189575
glove	260	code	-0.35232335329055786	0.14210326969623566
glove	261	show	-0.5557976365089417	-0.015035400167107582
glove	262	even	-0.7372580170631409	0.21035368740558624
glove	263	black	-0.4367395043373108	-0.05667119473218918
glove	264	check	-0.46997329592704773	0.16127654910087585
glove	265	special	-0.5357698202133179	0.014234336093068123
glove	266	prices	-0.46936526894569397	0.1762329488992691
glove	267	website	-0.41171371936798096	-0.047028593719005585
glove	268	index	-0.30592092871665955	0.05948256701231003
glove	269	being	-0.6465632319450378	0.06060277298092842
glove	270	women	-0.5100908279418945	0.024960514158010483
glove	271	much	-0.6721347570419312	0.1802801489830017
glove	272	sign	-0.49352899193763733	0.07899943739175797
glove	273	file	-0.35168027877807617	0.11976201087236404
glove	274	link	-0.45528608560562134	0.10090665519237518
glove	275	open	-0.5392130613327026	0.01642068661749363
glove	276	today	-0.666648268699646	0.053482960909605026
glove	277	technology	-0.49242696166038513	0.13208432495594025
glove	278	south	-0.5500770807266235	-0.13996852934360504
glove	279	case	-0.5727005004882812	-0.0045517366379499435
glove	280	project	-0.50444495677948	-0.011819688603281975
glove	281	same	-0.7587502598762512	0.08973324298858643
glove	282	pages	-0.34121909737586975	0.06829024851322174
glove	283	uk	-0.46014705300331116	-0.053016312420368195
glove	284	version	-0.3836408257484436	-0.02977294661104679
glove	285	section	-0.4392501413822174	0.03166693076491356
glove	286	own	-0.6482148170471191	0.1363162398338318
glove	287	found	-0.5666208267211914	0.01340261846780777
glove	288	sports	-0.43448102474212646	-0.08301171660423279
glove	289	house	-0.5347838401794434	-0.16153909265995026
glove	290	related	-0.5229294300079346	0.19489328563213348
glove	291	security	-0.575294017791748	0.08852989226579666
glove	292	both	-0.7595916986465454	0.016125280410051346
glove	293	g	-0.21892984211444855	-0.15972885489463806
glove	294	county	-0.3987308740615845	-0.26491501927375793
glove	295	american	-0.5476698279380798	-0.10842129588127136
glove	296	photo	-0.34177371859550476	-0.05849328637123108
glove	297	game	-0.5105723142623901	-0.056261032819747925
glove	298	members	-0.5977111458778381	-0.03524743765592575
glove	299	power	-0.5154605507850647	0.12480681389570236
glove	300	while	-0.7393627762794495	-0.031290240585803986
glove	301	care	-0.5114516019821167	0.0881674736738205
glove	302	network	-0.4935055375099182	0.07280920445919037
glove	303	down	-0.6122767329216003	0.014115072786808014
glove	304	computer	-0.4404177665710449	0.1128000020980835
glove	305	systems	-0.440484881401062	0.20216651260852814
glove	306	three	-0.6773524284362793	-0.0788823664188385
glove	307	total	-0.5259535908699036	0.11078289896249771
glove	308	place	-0.6179084777832031	-0.007126916199922562
glove	309	end	-0.6468823552131653	0.009678872302174568
glove	310	following	-0.6844260692596436	-0.03824694827198982
glove	311	download	-0.20225273072719574	0.1651688665151596
glove	312	h	-0.2034841626882553	-0.10397927463054657
glove	313	him	-0.6030957102775574	-0.09299294650554657
glove	314	without	-0.6620528101921082	0.2020963877439499
glove	315	per	-0.42505738139152527	0.07018032670021057
glove	316	access	-0.5053342580795288	0.1827097088098526
glove	317	think	-0.5921000838279724	0.09090942144393921
glove	318	north	-0.5321882367134094	-0.11764757335186005
glove	319	resources	-0.4567151367664337	0.14717625081539154
glove	320	current	-0.6272563338279724	0.0879264697432518
