state_id	convention	stratum	condition	denominator	exact_count	exact_proportion	WRONG_TO_CORRECT	CORRECT_TO_WRONG	CORRECT_TO_CORRECT	WRONG_TO_WRONG
W3_REP	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S1	3159	3159	1	3159	0	0	0
W3_REP	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S2	3159	3159	1	3159	0	0	0
W3_REP	freear	LEXICAL_IDENTITY_CORRECT_AND_NATIVE_LTM_WRONG	S3	3159	375	0.118708452	375	0	0	2784
W3_REP	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S0	34	0	0	NA	NA	NA	NA
W3_REP	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S1	34	34	1	34	0	0	0
W3_REP	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S2	34	34	1	34	0	0	0
W3_REP	freear	LEXICAL_IDENTITY_WRONG_AND_NATIVE_LTM_WRONG	S3	34	7	0.2058823529	7	0	0	27
W3_REP	canonical	ALL_REPETITION_ITEMS	S0	29571	26378	0.8920225897	NA	NA	NA	NA
W3_REP	canonical	ALL_REPETITION_ITEMS	S1	29571	29571	1	3193	0	26378	0
W3_REP	canonical	ALL_REPETITION_ITEMS	S2	29571	29571	1	3193	0	26378	0
W3_REP	canonical	ALL_REPETITION_ITEMS	S3	29571	24650	0.8335869602	382	2110	24268	2811
W3_REP	canonical	C_POPULATION	S0	27981	24822	0.887101962	NA	NA	NA	NA
W3_REP	canonical	C_POPULATION	S1	27981	27981	1	3159	0	24822	0
W3_REP	canonical	C_POPULATION	S2	27981	27981	1	3159	0	24822	0
W3_REP	canonical	C_POPULATION	S3	27981	23164	0.8278474679	375	2033	22789	2784
W3_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S0	1590	1556	0.9786163522	NA	NA	NA	NA
W3_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S1	1590	1590	1	34	0	1556	0
W3_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S2	1590	1590	1	34	0	1556	0
W3_REP	canonical	NONCANONICAL_HOMOPHONE_MEMBERS	S3	1590	1486	0.934591195	7	77	1479	27
W3_REP	canonical	NATIVE_LTM_WRONG	S0	3193	0	0	NA	NA	NA	NA
W3_REP	canonical	NATIVE_LTM_WRONG	S1	3193	3193	1	3193	0	0	0
W3_REP	canonical	NATIVE_LTM_WRONG	S2	3193	3193	1	3193	0	0	0
W3_REP	canonical	NATIVE_LTM_WRONG	S3	3193	382	0.1196367053	382	0	0	2811
W3_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S0	3159	0	0	NA	NA	NA	NA
W3_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S1	3159	3159	1	3159	0	0	0
W3_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S2	3159	3159	1	3159	0	0	0
W3_REP	canonical	C_CORRECT_AND_NATIVE_LTM_WRONG	S3	3159	375	0.118708452	375	0	0	2784
W3_REP	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S0	0	0		NA	NA	NA	NA
W3_REP	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S1	0	0		0	0	0	0
W3_REP	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S2	0	0		0	0	0	0
W3_REP	canonical	C_WRONG_AND_NATIVE_LTM_WRONG	S3	0	0		0	0	0	0
W3_REP	canonical	C_WRONG_BUT_NATIVE_LTM_PHONOLOGY_CORRECT	S0	0	0		NA	NA	NA	NA
