seed	route	factor	repeat	r2_drop	mae_increase
21	full	length	96	0.0014294070850309204	0.0011380175001980339
21	full	length	97	0.020955244974446563	0.0007715316265441141
21	full	length	98	0.003900091993811028	0.0005441138172224969
21	full	length	99	0.03157495729530513	0.0012407534520979674
22	full	length	0		0.00027471156996243615
22	full	length	1		-2.1114297149717187e-05
22	full	length	2		0.00014599642147757573
22	full	length	3		-0.0001899298905880739
22	full	length	4		0.00047144222244539704
22	full	length	5		9.028854049349458e-05
22	full	length	6		0.00021128555063201684
22	full	length	7		6.137297711617147e-05
22	full	length	8		0.0001234022911463786
22	full	length	9		0.00021811160875733187
22	full	length	10		0.00020374353168248031
22	full	length	11		0.0004507112019382191
22	full	length	12		-7.687031880697533e-05
22	full	length	13		-5.3636954385982705e-05
22	full	length	14		0.00030767204566126225
22	full	length	15		-0.00010326643544624099
22	full	length	16		6.400162952553256e-05
22	full	length	17		0.00023133660822280497
22	full	length	18		0.00038064905687271253
22	full	length	19		0.0005070387624001678
22	full	length	20		0.00040949937675261675
22	full	length	21		7.969871661549135e-05
22	full	length	22		7.208989104932634e-05
22	full	length	23		0.0001683965480281215
22	full	length	24		-1.9237374332270983e-05
22	full	length	25		0.00021420119833756492
22	full	length	26		0.0004984213611263577
22	full	length	27		-0.00018037889870704468
22	full	length	28		0.00012382629661551216
22	full	length	29		1.2867019053364528e-05
22	full	length	30		9.418017786093792e-05
22	full	length	31		0.00020993202594608244
22	full	length	32		0.00018696610220935057
22	full	length	33		0.00010536594810558846
22	full	length	34		0.00019983233970310814
22	full	length	35		7.960828399651131e-05
22	full	length	36		-4.655726856983393e-05
22	full	length	37		-0.00010656290800664485
22	full	length	38		0.0001406469067029223
22	full	length	39		0.00014343379412523963
22	full	length	40		6.576934667167425e-05
22	full	length	41		-0.00011491861021469766
22	full	length	42		-9.557281177072739e-05
22	full	length	43		0.0004386154670887
22	full	length	44		2.3190183806713095e-05
22	full	length	45		0.0001706925162558038
22	full	length	46		0.00026429708392163107
22	full	length	47		0.0006352622101307871
22	full	length	48		0.00020785535772948217
